Date,Open,High,Low,Close,Volume,Adj Close
2014-02-04,24.58,25.24,23.91,24.72,1417600,24.72
2014-02-03,24.82,24.82,24.82,24.82,000,24.82
2014-01-31,24.94,25.00,24.11,24.82,731600,24.82
2014-01-30,24.00,25.28,23.70,24.94,1316000,24.94
2014-01-29,23.74,24.00,23.50,23.67,305600,23.67
2014-01-28,23.90,24.32,23.30,23.76,758900,23.76
2014-01-27,23.80,23.90,23.42,23.85,356200,23.85
2014-01-24,23.52,24.05,23.52,23.79,494800,23.79
2014-01-23,23.27,23.75,23.23,23.68,535900,23.68
2014-01-22,23.00,23.75,22.90,23.27,2115300,23.27
2014-01-21,22.59,23.00,22.00,22.83,1219100,22.83
2014-01-20,22.50,22.90,22.50,22.70,635000,22.70
2014-01-17,22.35,23.00,22.35,22.85,168500,22.85
2014-01-16,23.08,23.08,22.32,22.63,981800,22.63
2014-01-15,23.10,23.25,22.91,23.06,423600,23.06
2014-01-14,23.00,23.39,23.00,23.10,2678200,23.10
2014-01-13,23.30,23.40,23.11,23.31,4053100,23.31
2014-01-10,23.01,23.40,22.91,22.99,968500,22.99
2014-01-09,23.08,23.24,22.90,22.95,603200,22.95
2014-01-08,23.24,23.44,22.90,23.08,382600,23.08
2014-01-07,23.46,23.47,23.16,23.22,467400,23.22
2014-01-06,23.49,23.49,23.06,23.20,696400,23.20
