Hechos Intradia,,,,,,
,,,,,,
"Razon Social: PLA ADMINISTRADORA INDUSTRIAL, S. DE R.L. DE C.V. (FIBRA TERRA)",,,,,,
Ticker: TERRA,,,,,,
Serie: 13,,,,,,
Fecha Inicial: 8/11/2014,,,,,,
Fecha Final: 8/15/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
8/11/2014,11:28:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:29:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,29.77,2977
8/11/2014,11:30:00 AM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,29.77,2977
8/11/2014,11:31:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:32:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:34:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:34:00 AM,MERRILL LYNCH,VECTOR CASA DE BOLSA,149,29.77,4435.73
8/11/2014,11:34:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,29.77,5954
8/11/2014,11:34:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.77,2977
8/11/2014,11:34:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,700,29.77,20839
8/11/2014,11:34:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.77,2977
8/11/2014,11:35:00 AM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,11:35:00 AM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,11:42:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.79,2979
8/11/2014,11:43:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,29.78,2978
8/11/2014,11:43:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.77,2977
8/11/2014,11:47:00 AM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,11:48:00 AM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,11:50:00 AM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,11:52:00 AM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,11:55:00 AM,CASA DE BOLSA BANCOMER,MORGAN STANLEY MEXICO CAS,100,29.87,2987
8/11/2014,11:58:00 AM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:01:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:04:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:06:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:09:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:12:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:15:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:16:00 PM,CITIBANK,CITIBANK,220,29.85,6567
8/11/2014,12:17:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,12:17:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,8290,29.89,247788.1
8/11/2014,12:18:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:19:00 PM,CITIBANK,MORGAN STANLEY MEXICO CAS,100,29.85,2985
8/11/2014,12:19:00 PM,MERRILL LYNCH,MERRILL LYNCH,236471,29.86,7061024.06
